ego_id,alter_id,zij
30001,190301,0
30001,190302,0
30001,190303,0
30001,190304,0
30001,190305,0
30001,190306,0
40001,10100,4050
40001,20100,7787
40001,30001,2023
40001,40001,152
40001,50001,16
40001,70000,17
40001,80001,3
40001,90001,6
40001,110101,2149
40001,130100,23
40001,130200,1
40001,130300,0
40001,130500,0
40001,130600,1
40001,130700,0
40001,140101,5
40001,140102,6
40001,140105,8
40001,140200,0
40001,140300,3
40001,140400,3
40001,140500,2
40001,140600,8
40001,140700,0
40001,140800,1
40001,140900,5
40001,141000,1
40001,141100,2
40001,141200,2
40001,141301,5
40001,141302,3
40001,141401,2
40001,141402,2
40001,141403,1
40001,141501,1
40001,141502,4
40001,141600,0
40001,141700,3
40001,141801,6
40001,141802,3
40001,141803,0
40001,141900,3
40001,142002,1
40001,142004,1
40001,142005,4
40001,142101,8
40001,142102,0
40001,142103,2
40001,142104,2
40001,142200,7
40001,142300,1
40001,142400,0
40001,142500,1
40001,142600,0
40001,142700,1
40001,142800,1
40001,142900,2
40001,143000,0
40001,143100,0
40001,143201,2
40001,143202,3
40001,150101,3
40001,150102,0
40001,150103,0
40001,150200,1
40001,160100,7
40001,160200,0
40001,160300,3
40001,160400,0
40001,170100,2
40001,170600,0
40001,170700,0
40001,170900,0
40001,171001,2
40001,171100,1
40001,180101,0
40001,180102,1
40001,180201,2
40001,180202,0
40001,180203,0
40001,180300,2
40001,180400,6
40001,190100,0
40001,190200,2
40001,190301,0
40001,190302,0
40001,190303,0
40001,190304,2
40001,190305,0
40001,190306,1
50001,10100,0
50001,20100,0
50001,30001,0
50001,40001,0
50001,50001,2083
50001,70000,0
50001,80001,0
50001,90001,0
50001,110101,0
50001,130100,0
50001,130200,0
50001,130300,0
50001,130500,0
50001,130600,0
50001,130700,0
50001,140101,0
50001,140102,0
50001,140105,0
50001,140200,0
50001,140300,0
50001,140400,0
50001,140500,0
50001,140600,0
50001,140700,0
50001,140800,0
50001,140900,0
50001,141000,0
50001,141100,0
50001,141200,0
50001,141301,0
50001,141302,0
50001,141401,0
50001,141402,0
50001,141403,0
50001,141501,0
50001,141502,0
50001,141600,0
50001,141700,0
50001,141801,0
50001,141802,0
50001,141803,0
50001,141900,0
50001,142002,0
50001,142004,0
50001,142005,0
50001,142101,0
50001,142102,0
50001,142103,0
50001,142104,0
50001,142200,0
50001,142300,0
50001,142400,0
50001,142500,0
50001,142600,0
50001,142700,0
50001,142800,0
50001,142900,0
50001,143000,0
50001,143100,0
50001,143201,0
50001,143202,0
50001,150101,0
50001,150102,0
50001,150103,0
50001,150200,0
50001,160100,0
50001,160200,0
50001,160300,0
50001,160400,0
50001,170100,0
50001,170600,0
50001,170700,0
50001,170900,0
50001,171001,0
50001,171100,0
50001,180101,0
50001,180102,0
50001,180201,0
50001,180202,0
50001,180203,0
50001,180300,0
50001,180400,0
50001,190100,0
50001,190200,0
50001,190301,0
50001,190302,0
50001,190303,0
50001,190304,0
50001,190305,0
50001,190306,0
70000,10100,0
70000,20100,0
70000,30001,0
70000,40001,0
70000,50001,15
70000,70000,3042
70000,80001,0
70000,90001,58
70000,110101,0
70000,130100,2
70000,130200,0
70000,130300,0
70000,130500,0
70000,130600,0
70000,130700,0
70000,140101,9
70000,140102,6
70000,140105,8
70000,140200,0
70000,140300,7
70000,140400,4
70000,140500,1
70000,140600,7
70000,140700,1
70000,140800,3
70000,140900,12
70000,141000,3
70000,141100,2
70000,141200,4
70000,141301,7
70000,141302,3
70000,141401,2
70000,141402,3
70000,141403,1
70000,141501,2
70000,141502,6
70000,141600,1
70000,141700,18
70000,141801,11
70000,141802,3
70000,141803,1
70000,141900,17
70000,142002,1
70000,142004,1
70000,142005,3
70000,142101,9
70000,142102,2
70000,142103,1
70000,142104,1
70000,142200,5
70000,142300,1
70000,142400,1
70000,142500,10
70000,142600,1
70000,142700,7
70000,142800,2
70000,142900,3
70000,143000,0
70000,143100,1
70000,143201,5
70000,143202,6
70000,150101,15
70000,150102,1
70000,150103,1
70000,150200,9
70000,160100,20
70000,160200,1
70000,160300,5
70000,160400,1
70000,170100,6
70000,170600,2
70000,170700,1
70000,170900,0
70000,171001,3
70000,171100,2
70000,180101,1
70000,180102,2
70000,180201,2
70000,180202,1
70000,180203,0
70000,180300,8
70000,180400,6
70000,190100,0
70000,190200,1
70000,190301,0
70000,190302,1
70000,190303,0
70000,190304,1
70000,190305,0
70000,190306,0
80001,10100,0
80001,20100,0
80001,30001,0
80001,40001,0
80001,50001,0
80001,70000,0
80001,80001,20296
80001,90001,0
80001,110101,0
80001,130100,0
80001,130200,0
80001,130300,0
80001,130500,0
80001,130600,0
